user_id,image_id,class
31,10010,1
53,10019,44
32,10035,71
6,1004,11
54,10040,99
26,10054,62
13,10057,42
46,10063,96
86,1007,89
83,10089,15
48,10091,48
87,10100,3
24,10102,57
49,10103,59
97,10107,63
30,10115,35
35,10123,38
56,10136,31
22,10145,5
12,10152,52
38,10155,53
90,10177,65
50,10199,72
13,10201,42
42,10260,78
56,10264,31
45,10273,61
14,10274,56
70,10301,46
85,10327,58
75,10336,67
89,1034,90
37,10360,19
1,10363,28
86,10364,89
71,10384,39
10,10396,77
84,10413,50
58,10417,4
11,10442,29
42,10446,78
86,10458,89
87,10473,3
33,10478,70
35,10500,38
81,10507,88
53,10511,44
37,1052,19
57,10548,32
40,10556,79
81,10559,88
80,1056,92
55,10565,34
98,10573,51
77,1058,64
19,10581,14
42,10582,78
73,10589,30
80,10591,92
18,10592,75
59,10596,76
39,10604,85
53,10606,44
67,10607,69
12,10612,52
5,10618,40
79,1063,73
95,10639,10
92,10646,80
55,10666,34
46,10669,96
44,10670,93
25,10687,87
22,10692,5
90,10695,65
67,107,69
90,10704,65
32,10711,71
5,10720,40
92,10721,80
57,10724,32
13,10733,42
78,10744,86
5,10745,40
43,10758,49
34,10768,17
61,10817,22
96,10829,18
19,10836,14
78,10837,86
7,10841,47
42,10844,78
95,10869,10
86,10883,89
9,10887,43
89,10895,90
74,10921,68
5,10933,40
95,10955,10
4,1096,74
77,10987,64
10,10990,77
27,10997,23
49,11004,59
14,11023,56
36,11025,27
71,11046,39
21,11065,0
18,11091,75
12,11095,52
85,11103,58
92,11115,80
71,11117,39
24,11133,57
1,11136,28
32,11137,71
28,1114,8
90,11149,65
23,11162,36
15,11166,16
84,1117,50
36,11184,27
95,11185,10
23,11191,36
74,11225,68
28,11229,8
24,11253,57
49,11254,59
21,11264,0
68,11266,84
39,1127,85
12,1128,52
79,11281,73
19,11282,14
31,1129,1
43,11308,49
40,11310,79
62,11319,21
91,11321,95
32,11328,71
82,1133,24
39,11342,85
16,11346,45
2,11348,33
36,11353,27
69,11364,2
97,11372,63
65,1138,13
89,1141,90
76,11410,6
20,11411,37
55,11424,34
89,11425,90
32,11438,71
90,11441,65
66,11459,54
0,11469,26
43,1147,49
91,11471,95
24,11474,57
62,11483,21
95,11486,10
30,11508,35
5,11515,40
71,11516,39
54,11519,99
53,11524,44
54,11526,99
78,11534,86
78,11537,86
57,11538,32
3,11541,25
38,11550,53
37,1156,19
54,11561,99
49,1160,59
72,11613,12
7,11624,47
48,11625,48
49,11633,59
80,11636,92
57,11651,32
69,11654,2
45,11666,61
14,1167,56
52,11670,94
99,1168,97
8,11681,81
79,11682,73
88,11700,83
93,11705,9
49,11710,59
78,11723,86
65,11733,13
20,11741,37
5,11742,40
41,11766,41
42,11793,78
19,11802,14
75,11811,67
15,11817,16
1,11818,28
71,11822,39
69,11833,2
61,11850,22
66,11851,54
35,11868,38
16,1187,45
4,11872,74
62,11888,21
44,11904,93
29,11907,98
41,11926,41
35,1193,38
8,11939,81
1,11942,28
3,11945,25
40,11984,79
56,11992,31
21,11995,0
96,11999,18
47,12,82
72,12005,12
42,12007,78
54,12012,99
16,1202,45
44,12026,93
45,12029,61
5,1203,40
11,12032,29
11,12033,29
58,12053,4
49,12054,59
92,12061,80
78,12066,86
32,12112,71
92,12119,80
22,1213,5
85,12139,58
73,1214,30
25,12141,87
81,1215,88
71,12184,39
60,1219,7
53,12193,44
60,12202,7
36,12212,27
5,12220,40
38,12223,53
28,12231,8
35,12259,38
42,12268,78
17,1227,55
62,12272,21
30,12279,35
76,12302,6
69,12324,2
62,12334,21
24,12361,57
53,12372,44
22,12377,5
65,12379,13
47,12380,82
71,12386,39
20,12397,37
52,12406,94
47,12408,82
31,12413,1
40,12431,79
40,12434,79
91,1246,95
38,12462,53
64,12469,66
79,12477,73
42,1248,78
8,12480,81
6,12481,11
53,12483,44
83,12490,15
2,12491,33
20,12498,37
57,12505,32
83,12509,15
45,1251,61
28,1255,8
16,12557,45
68,12558,84
14,12571,56
10,12576,77
32,12579,71
88,1258,83
52,12591,94
36,12594,27
40,12596,79
4,12606,74
32,12610,71
52,12621,94
67,12641,69
15,12643,16
65,12664,13
17,12682,55
35,1269,38
71,12697,39
25,12710,87
26,12735,62
42,12750,78
85,12760,58
85,12764,58
28,12767,8
9,12782,43
64,12783,66
12,12789,52
37,1279,19
47,12801,82
57,12804,32
12,12805,52
40,12808,79
83,12812,15
22,12814,5
89,12827,90
48,12845,48
23,12858,36
83,12876,15
16,12884,45
28,1290,8
51,12903,20
68,12904,84
6,12916,11
38,12932,53
86,12945,89
11,12958,29
23,12969,36
24,12970,57
75,12995,67
22,12997,5
15,1300,16
35,13048,38
91,13049,95
39,13054,85
12,13057,52
36,13061,27
88,13085,83
9,13088,43
17,13098,55
50,13102,72
2,13106,33
44,13111,93
52,13128,94
